日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-03-01,31.52,31.76,31.89,31.4,20908,66193316.0,1.54,-0.44,-0.14,1.05
2017-03-02,31.66,31.87,31.98,31.5,15864,50354337.0,1.51,0.35,0.11,0.8
2017-03-03,31.7,32.04,32.22,31.4,18907,60162744.0,2.57,0.53,0.17,0.95
2017-03-06,32.21,32.52,32.65,32.01,20358,65839835.0,2.0,1.5,0.48,1.02
2017-03-07,32.54,31.94,32.62,31.54,20498,65715984.0,3.32,-1.78,-0.58,1.03
2017-03-08,31.71,31.94,32.25,31.71,11294,36203631.0,1.69,0.0,0.0,0.57
2017-03-09,31.81,31.36,31.93,31.3,12373,39005850.0,1.97,-1.82,-0.58,0.62
2017-03-10,31.36,31.56,31.8,31.26,14303,45046583.0,1.72,0.64,0.2,0.72
2017-03-13,31.52,31.82,31.89,31.0,10712,33827853.0,2.82,0.82,0.26,0.54
2017-03-14,31.75,31.66,32.24,31.5,14997,47791459.0,2.33,-0.5,-0.16,0.75
2017-03-15,31.54,31.3,31.76,31.25,11959,37561413.0,1.61,-1.14,-0.36,0.6
2017-03-16,31.25,31.95,32.15,30.88,29031,90899979.0,4.06,2.08,0.65,1.46
2017-03-17,31.7,31.1,31.8,30.95,32077,100486224.0,2.66,-2.66,-0.85,1.61
2017-03-20,30.93,31.0,31.26,30.8,18048,55965131.0,1.48,-0.32,-0.1,0.91
2017-03-21,31.5,31.29,31.75,31.1,29717,93407829.0,2.1,0.94,0.29,1.49
2017-03-22,31.0,30.31,31.18,30.1,40746,124450289.0,3.45,-3.13,-0.98,2.05
2017-03-23,30.42,30.51,30.8,30.41,22847,69824507.0,1.29,0.66,0.2,1.15
2017-03-24,30.42,30.35,30.57,30.12,23119,70030138.0,1.47,-0.52,-0.16,1.16
2017-03-27,30.38,31.13,31.3,30.38,24955,76973202.0,3.03,2.57,0.78,1.25
2017-03-28,30.9,30.89,31.2,30.8,17796,55078827.0,1.28,-0.77,-0.24,0.89
2017-03-29,31.01,30.66,31.06,30.52,18124,55687198.0,1.75,-0.74,-0.23,0.91
2017-03-30,30.51,30.2,30.69,30.09,18170,55226977.0,1.96,-1.5,-0.46,0.91
2017-03-31,30.21,30.44,30.66,30.2,9551,29034785.0,1.52,0.79,0.24,0.45
2017-04-05,30.41,30.9,31.05,30.25,16092,49620391.0,2.63,1.51,0.46,0.76
2017-04-06,30.8,31.12,31.38,30.75,15217,47266440.0,2.04,0.71,0.22,0.72
2017-04-07,31.25,30.95,31.35,30.89,12919,40115024.0,1.48,-0.55,-0.17,0.61
2017-04-10,31.0,30.9,31.19,30.67,14636,45203710.0,1.68,-0.16,-0.05,0.69
2017-04-11,30.88,31.27,31.3,30.71,11694,36158982.0,1.91,1.2,0.37,0.55
2017-04-12,31.28,30.9,31.33,30.69,18936,58452667.0,2.05,-1.18,-0.37,0.9
2017-04-13,30.73,30.85,31.06,30.73,8822,27272634.0,1.07,-0.16,-0.05,0.42
2017-04-14,30.83,30.42,30.83,30.31,14607,44555991.0,1.69,-1.39,-0.43,0.69
2017-04-17,30.48,30.7,30.74,30.08,7571,23043671.0,2.17,0.92,0.28,0.36
2017-04-18,30.9,30.26,30.91,29.8,28116,84918087.0,3.62,-1.43,-0.44,1.33
2017-04-19,29.95,30.01,30.19,29.7,21464,64250921.0,1.62,-0.83,-0.25,1.01
2017-04-20,30.1,30.6,30.82,29.92,17593,53762661.0,3.0,1.97,0.59,0.83
2017-04-21,30.7,30.42,30.7,30.05,23921,72413881.0,2.12,-0.59,-0.18,1.13
2017-04-24,30.15,30.66,30.8,29.8,16676,50833703.0,3.29,0.79,0.24,0.79
2017-04-25,30.56,31.98,31.98,30.4,59631,188187754.0,5.15,4.31,1.32,2.82
2017-04-26,31.9,31.73,32.2,31.43,55110,175046113.0,2.41,-0.78,-0.25,2.6
2017-04-27,31.67,32.32,32.35,31.03,77098,245650307.0,4.16,1.86,0.59,3.64
2017-04-28,32.49,33.03,34.57,32.1,145822,487190704.0,7.64,2.2,0.71,6.89
2017-05-02,33.02,32.54,33.66,32.5,99690,329658976.0,3.51,-1.48,-0.49,4.71
2017-05-03,32.3,32.28,32.53,31.67,100527,323152832.0,2.64,-0.8,-0.26,4.75
2017-05-04,32.05,32.18,32.75,31.89,54107,175400013.0,2.66,-0.31,-0.1,2.56
2017-05-05,32.01,32.71,33.45,31.91,79824,262261688.0,4.79,1.65,0.53,3.72
2017-05-08,32.86,32.02,33.4,31.6,91412,299944064.0,5.5,-2.11,-0.69,4.26
2017-05-09,31.67,32.88,32.88,31.41,56455,181788318.0,4.59,2.69,0.86,2.63
2017-05-10,32.75,33.22,33.79,32.6,98461,328918272.0,3.62,1.03,0.34,4.59
2017-05-11,33.1,33.34,33.35,31.89,75894,248494656.0,4.39,0.36,0.12,3.54
2017-05-12,33.18,32.53,33.19,32.17,70737,230295960.0,3.06,-2.43,-0.81,3.3
2017-05-15,32.53,32.26,32.64,32.0,44983,145334548.0,1.97,-0.83,-0.27,2.1
2017-05-16,32.0,30.62,32.0,29.31,118936,363676928.0,8.34,-5.08,-1.64,5.54
2017-05-17,30.7,32.9,33.68,30.0,111871,358546032.0,12.02,7.45,2.28,4.72
2017-05-18,32.3,32.36,33.28,32.23,79012,258792677.0,3.19,-1.64,-0.54,3.34
2017-05-19,32.25,31.6,32.78,31.21,68606,217768388.0,4.85,-2.35,-0.76,2.9
2017-05-22,31.23,31.3,32.59,30.79,50060,159234816.0,5.7,-0.95,-0.3,2.11
2017-05-23,31.0,30.69,31.83,30.1,51512,158597140.0,5.53,-1.95,-0.61,2.18
2017-05-24,30.5,30.71,30.79,29.88,35078,106246522.0,2.97,0.07,0.02,1.48
2017-05-25,30.66,30.87,31.16,30.33,34365,105810399.0,2.7,0.52,0.16,1.45
2017-05-26,30.81,31.36,31.5,30.66,25001,78050252.0,2.72,1.59,0.49,1.06
